day,daylength,hours,minutes,seconds,time
10-1,42529,11,48,49,11:48:49
10-2,42386,11,46,26,11:46:26
10-3,42243,11,44,3,11:44:03
10-4,42100,11,41,40,11:41:40
10-5,41957,11,39,17,11:39:17
10-6,41815,11,36,55,11:36:55
10-7,41672,11,34,32,11:34:32
10-8,41531,11,32,11,11:32:11
10-9,41389,11,29,49,11:29:49
10-10,41247,11,27,27,11:27:27
10-11,41106,11,25,6,11:25:06
10-12,40966,11,22,46,11:22:46
10-13,40825,11,20,25,11:20:25
10-14,40685,11,18,5,11:18:05
10-15,40545,11,15,45,1:15:45
10-16,40406,11,13,26,11:13:26
10-17,40267,11,11,7,11:11:07
10-18,40129,11,8,49,11:08:49
10-19,39991,11,6,31,11:06:31
10-20,39854,11,4,14,11:04:14
10-21,39718,11,1,58,11:01:58
10-22,39582,10,59,42,10:59:42
10-23,39446,10,57,26,10:57:26
10-24,39312,10,55,12,10:55:12
10-25,39178,10,52,58,10:52:58
10-26,39044,10,50,44,10:50:44
10-27,38912,10,48,32,10:48:32
10-28,38781,10,46,21,10:46:21
10-29,38650,10,44,10,10:44:10
10-30,38520,10,42,0,10:42:00
10-31,38392,10,39,52,10:39:52
11-1,38264,10,37,44,10:37:44
11-2,38137,10,35,37,10:35:37
11-3,38012,10,33,32,10:33:32
11-4,37888,10,31,28,10:31:28
11-5,37765,10,29,25,10:29:25
11-6,37643,10,27,23,10:27:23
11-7,37523,10,25,23,10:25:23
11-8,37404,10,23,24,10:23:24
11-9,37286,10,21,26,10:21:26
11-10,37170,10,19,30,10:19:30
11-11,37056,10,17,36,10:17:36
11-12,36943,10,15,43,10:15:43
11-13,36832,10,13,52,10:13:52
11-14,36722,10,12,2,10:12:02
11-15,36615,10,10,15,10:10:15
11-16,36509,10,8,29,10:08:29
11-17,36405,10,6,45,10:06:45
11-18,36303,10,5,3,10:05:03
11-19,36203,10,3,23,10:03:23
11-20,36105,10,1,45,10:01:45
11-21,36009,10,0,9,10:00:09
11-22,35916,9,58,36,9:58:36
11-23,35825,9,57,5,9:57:05
11-24,35736,9,55,36,9:55:36
11-25,35650,9,54,10,9:54:10
11-26,35566,9,52,46,9:52:46
11-27,35484,9,51,24,9:51:24
11-28,35406,9,50,6,9:50:06
11-29,35330,9,48,50,9:48:50
11-30,35256,9,47,36,9:47:36
12-1,35186,9,46,26,9:46:26
12-2,35178,9,46,18,9:45:18
12-3,35054,9,44,14,9:44:14
12-4,34992,9,43,12,9:43:12
12-5,34934,9,42,14,9:42:14
12-6,34878,9,41,18,9:41:18
12-7,34826,9,40,26,9:40:26
12-8,34777,9,39,37,9:39:37
12-9,34731,9,38,51,9:38:51
12-10,34688,9,38,8,9:38:08
12-11,34649,9,37,29,9:37:29
12-12,34613,9,36,53,9:36:53
12-13,34580,9,36,20,9:36:20
12-14,34551,9,35,51,9:35:51
12-15,34526,9,35,26,9:35:26
12-16,34503,9,35,3,9:35:03
12-17,34485,9,34,45,9:34:45
12-18,34469,9,34,29,9:34:29
12-19,34458,9,34,18,9:34:18
12-20,34450,9,34,10,9:34:10
12-21,34445,9,34,5,9:34:05
12-22,34444,9,34,4,9:34:04
12-23,34447,9,34,7,9:34:07
12-24,34453,9,34,13,9:34:13
12-25,34463,9,34,23,9:34:23
12-26,34476,9,34,36,9:34:36
12-27,34493,9,34,53,9:34:53
12-28,34514,9,35,14,9:35:14
12-29,34538,9,35,38,9:35:38
12-30,34565,9,36,5,9:36:05
12-31,34596,9,36,36,9:36:36
