day,daylength,hours,minutes,seconds,time
3-11,40947,11,22,27,11:22:27
3-12,41278,11,27,58,11:27:58
3-13,41608,11,33,28,11:33:28
3-14,41939,11,38,59,11:38:59
3-15,42279,11,44,39,11:44:30
3-16,42600,11,50,0,11:50:00
3-17,42931,11,55,31,11:55:31
3-18,43262,12,1,2,12:01:02
3-19,43592,12,6,32,12:06:32
3-20,43923,12,12,3,12:12:03
3-21,44253,12,17,33,12:17:33
3-22,44584,12,23,4,12:23:04
3-23,44914,12,28,34,12:28:34
3-24,45245,12,34,5,12:34:05
3-25,45576,12,39,36,12:39:36
3-26,45906,12,45,6,12:45:06
3-27,46237,12,50,37,12:50:37
3-28,46567,12,56,7,12:56:07
3-29,46898,13,1,38,13:01:38
3-30,47228,13,7,8,13:07:08
3-31,47558,13,12,38,13:12:38
4-1,47889,13,18,9,13:18:09
4-2,48219,13,23,39,13:23:39
4-3,48549,13,29,9,13:29:09
4-4,48879,13,34,39,13:34:39
4-5,49209,13,40,9,13:40:09
4-6,49538,13,45,38,13:45:38
4-7,49868,13,51,8,13:51:08
4-8,50197,13,56,37,13:56:37
4-9,50526,14,2,6,14:02:06
4-10,50855,14,7,35,14:07:35
4-11,51184,14,13,4,14:13:04
4-12,51512,14,18,32,14:18:32
4-13,51840,14,24,0,14:24:00
4-14,52167,14,29,27,14:29:27
4-15,52495,14,34,55,14:34:55
4-16,52822,14,40,22,14:40:22
4-17,53148,14,45,48,14:45:48
4-18,53474,14,51,14,14:51:14
4-19,53800,14,56,40,14:56:40
4-20,54125,15,2,5,15:02:05
4-21,54449,15,7,29,15:07:29
4-22,54773,15,12,53,15:12:53
4-23,55097,15,18,17,15:18:17
4-24,55419,15,23,39,15:23:39
4-25,55741,15,29,1,15:29:01
4-26,56062,15,34,22,15:34:22
4-27,56383,15,39,43,15:39:43
4-28,56702,15,45,2,15:45:02
4-29,57020,15,50,20,15:50:20
4-30,57337,15,55,37,15:55:37
5-1,57653,16,0,53,16:00:53
5-2,57967,16,6,7,16:06:07
5-3,58280,16,11,20,16:11:20
5-4,58592,16,16,32,16:16:32
5-5,58901,16,21,41,16:21:41
5-6,59209,16,26,49,16:26:49
5-7,59516,16,31,56,16:31:56
5-8,59820,16,37,0,16:37:00
5-9,60122,16,42,2,16:42:02
5-10,60421,16,47,1,16:47:01
5-11,60718,16,51,58,16:51:58
5-12,61013,16,56,53,16:56:53
5-13,61305,17,1,45,17:01:45
5-14,61594,17,6,34,17:06:34
5-15,61879,17,11,19,17:11:19
5-16,62162,17,16,2,17:16:02
5-17,62441,17,20,41,17:20:41
5-18,62717,17,25,17,17:25:17
5-19,62988,17,29,48,17:29:48
5-20,63256,17,34,16,17:34:16
5-21,63519,17,38,39,17:38:39
5-22,63778,17,42,58,17:42:58
5-23,64032,17,47,12,17:47:12
5-24,64282,17,51,22,17:51:22
5-25,64525,17,55,25,17:55:25
5-26,64764,17,59,24,17:59:24
5-27,64997,18,3,17,18:03:17
5-28,65223,18,7,3,18:07:03
5-29,65444,18,10,44,18:10:44
5-30,65657,18,14,17,18:14:17
5-31,65864,18,17,44,18:17:44
6-1,66064,18,21,4,18:21:04
6-2,66256,18,24,16,18:24:16
6-3,66441,18,27,21,18:27:21
6-4,66617,18,30,17,18:30:17
6-5,66785,18,33,5,18:33:05
6-6,66945,18,35,45,18:35:45
6-7,67096,18,38,16,18:38:16
6-8,67237,18,40,37,18:40:37
6-9,67369,18,42,49,18:42:49
6-10,67492,18,44,52,18:44:52
6-11,67604,18,46,44,18:46:44
6-12,67707,18,48,27,18:48:27
6-13,67799,18,49,59,18:49:59
6-14,67881,18,51,21,18:51:21
6-15,67952,18,52,32,18:52:32
6-16,68012,18,53,32,18:53:32
6-17,68062,18,54,22,18:54:22
6-18,68100,18,55,0,18:55:00
6-19,68128,18,55,28,18:55:28
6-20,68144,18,55,44,18:55:44
6-21,68149,18,55,49,18:55:49
6-22,68143,18,55,43,18:55:43
6-23,68126,18,55,26,18:55:26
6-24,68097,18,54,57,18:54:57
6-25,68058,18,54,18,18:54:18
6-26,68007,18,53,27,18:53:27
6-27,67946,18,52,26,18:52:26
6-28,67873,18,51,13,18:51:13
6-29,67791,18,49,51,18:49:51
6-30,67698,18,48,18,18:48:18
7-1,67594,18,46,34,18:46:34
7-2,67481,18,44,41,18:44:41
7-3,67358,18,42,38,18:42:38
7-4,67225,18,40,25,18:40:25
7-5,67083,18,38,3,18:38:03
7-6,66932,18,35,32,18:35:32
7-7,66773,18,32,53,18:32:53
7-8,66604,18,30,4,18:30:04
7-9,66428,18,27,8,18:27:08
7-10,66244,18,24,4,18:24:04
7-11,66052,18,20,52,18:20:52
7-12,65854,18,17,34,18:17:34
7-13,65648,18,14,8,18:14:08
7-14,65435,18,10,35,18:10:35
7-15,65216,18,6,56,18:06:56
7-16,64991,18,3,11,18:03:11
7-17,64760,17,59,20,17:59:20
7-18,64523,17,55,23,17:55:23
7-19,64281,17,51,21,17:51:21
7-20,64033,17,47,13,17:47:13
7-21,63781,17,43,1,17:43:01
7-22,63524,17,38,44,17:38:44
7-23,63263,17,34,23,17:34:23
7-24,62998,17,29,58,17:29:58
7-25,62728,17,25,28,17:25:28
7-26,62455,17,20,55,17:20:55
7-27,62178,17,16,18,17:16:18
7-28,61898,17,11,38,17:11:38
7-29,61615,17,6,55,17:06:55
7-30,61329,17,2,9,17:02:09
7-31,61040,16,57,20,16:57:20
8-1,60748,16,52,28,16:52:28
8-2,60454,16,47,34,16:47:34
8-3,60158,16,42,38,16:42:38
8-4,59859,16,37,39,16:37:39
8-5,59558,16,32,38,16:32:38
8-6,59256,16,27,36,16:27:36
8-7,58952,16,22,32,16:22:32
8-8,58646,16,17,26,16:17:26
8-9,58338,16,12,18,16:12:18
8-10,58029,16,7,9,16:07:09
8-11,57719,16,1,59,16:01:59
8-12,57407,15,56,47,15:56:47
8-13,57095,15,51,35,15:51:35
8-14,56781,15,46,21,15:46:21
8-15,56466,15,41,6,15:41:06
8-16,56151,15,35,51,15:35:51
8-17,55834,15,30,34,15:30:34
8-18,55577,15,26,17,15:25:17
8-19,55208,15,19,68,15:19:58
8-20,54880,15,14,40,15:14:40
8-21,54560,15,9,20,15:09:20
8-22,54240,15,4,0,15:04:00
8-23,53919,14,58,39,14:58:39
8-24,53598,14,53,18,14:53:18
8-25,53276,14,47,56,14:47:56
8-26,52954,14,42,34,14:42:34
8-27,52632,14,37,12,14:37:12
8-28,52309,14,31,49,14:31:49
8-29,51986,14,26,26,14:26:26
8-30,51662,14,21,2,14:21:02
8-31,51339,14,15,39,14:15:39
9-1,51015,14,10,15,14:10:15
9-2,50691,14,4,51,14:04:51
9-3,50367,13,59,27,13:59:27
9-4,50042,13,54,2,13:54:02
9-5,49718,13,48,38,13:48:38
9-6,49393,13,43,13,13:43:13
9-7,49069,13,37,49,13:37:49
9-8,48744,13,32,24,13:32:24
9-9,48419,13,26,59,13:26:59
9-10,48095,13,21,35,13:21:35
9-11,47770,13,16,10,13:16:10
9-12,47445,13,10,45,13:10:45
9-13,47120,13,5,20,13:05:20
9-14,46795,12,59,55,12:59:55
9-15,46469,12,54,29,12:54:29
9-16,46144,12,49,4,12:49:04
9-17,45819,12,43,39,12:43:39
9-18,45493,12,38,13,12:38:13
9-19,45168,12,32,48,12:32:48
9-20,44842,12,27,22,12:27:22
9-21,44517,12,21,57,12:21:57
9-22,44191,12,16,31,12:16:31
9-23,43865,12,11,5,12:11:05
9-24,43540,12,5,40,12:05:40
9-25,43214,12,0,14,12:00:14
9-26,42888,11,54,48,11:54:48
9-27,42562,11,49,22,11:49:22
9-28,42236,11,43,56,11:43:56
9-29,41911,11,38,31,11:38:31
9-30,41585,11,33,5,11:33:05
10-1,41259,11,27,39,11:27:39
10-2,40933,11,22,13,11:22:13
10-3,40608,11,16,48,11:16:48
10-4,40282,11,11,22,11:11:22
10-5,39957,11,5,57,11:05:57
10-6,39631,11,0,31,11:00:31
10-7,39306,10,55,6,10:55:06
10-8,38981,10,49,41,10:49:41
10-9,38656,10,44,16,10:44:16
10-10,38331,10,38,51,10:38:51
10-11,38006,10,33,26,10:33:26
10-12,37681,10,28,1,10:28:01
10-13,37357,10,22,37,10:22:37
10-14,37032,10,17,12,10:17:12
10-15,36708,10,11,48,10:11:48
10-16,36384,10,6,24,10:06:24
10-17,36060,10,1,0,10:01:00
10-18,35737,9,55,37,9:55:37
10-19,35414,9,50,14,9:50:14
10-20,35091,9,44,51,9:44:51
10-21,34769,9,39,29,9:39:29
10-22,34447,9,34,7,9:34:07
10-23,34126,9,28,46,9:28:46
10-24,33805,9,23,25,9:23:25
10-25,33485,9,18,5,9:18:05
10-26,33166,9,12,46,9:12:46
10-27,32847,9,7,27,9:07:27
10-28,32530,9,2,10,9:02:10
10-29,32213,8,56,53,8:56:53
10-30,31897,8,51,37,8:51:37
10-31,31583,8,46,23,8:46:23
11-1,31269,8,41,9,8:41:09
11-2,30957,8,35,57,8:35:57
11-3,30646,8,30,46,8:30:46
11-4,30337,8,25,37,8:25:37
11-5,30030,8,20,30,8:20:30
11-6,29724,8,15,24,8:15:24
11-7,29420,8,10,20,8:10:20
11-8,29118,8,5,18,8:05:18
11-9,28818,8,0,18,8:00:18
11-10,28521,7,55,21,7:55:21
11-11,28226,7,50,26,7:50:26
11-12,27933,7,45,33,7:45:33
11-13,27643,7,40,43,7:40:43
11-14,27356,7,35,56,7:35:56
11-15,27072,7,31,12,7:31:12
11-16,26792,7,26,32,7:26:32
11-17,26514,7,21,54,7:21:54
11-18,26241,7,17,21,7:17:21
11-19,25971,7,12,51,7:12:51
11-20,25706,7,8,26,7:08:26
11-21,25445,7,4,5,7:04:05
11-22,25188,6,59,48,6:59:48
11-23,24936,6,55,36,6:55:36
11-24,24690,6,51,30,6:51:30
11-25,24448,6,47,28,6:47:28
11-26,24213,6,43,33,6:43:33
11-27,23983,6,39,43,6:39:43
11-28,23759,6,35,59,6:35:59
11-29,23542,6,32,22,6:32:22
11-30,23332,6,28,52,6:28:52
12-1,23128,6,25,28,6:25:28
12-2,22932,6,22,12,6:22:12
12-3,22744,6,19,4,6:19:04
12-4,22563,6,16,3,6:16:03
12-5,22391,6,13,11,6:13:11
12-6,22227,6,10,27,6:10:27
12-7,22072,6,7,52,6:07:52
12-8,21926,6,5,26,6:05:26
12-9,21789,6,3,9,6:03:09
12-10,21661,6,1,1,6:01:01
12-11,21543,5,59,3,5:59:03
12-12,21435,5,57,15,5:57:15
12-13,21337,5,55,37,5:55:37
12-14,21250,5,54,10,5:54:10
12-15,21173,5,52,53,5:52:53
12-16,21107,5,51,47,5:51:47
12-17,21051,5,50,51,5:50:51
12-18,21007,5,50,7,5:50:07
12-19,20973,5,49,33,5:49:33
12-20,20951,5,49,11,5:49:11
12-21,20940,5,49,0,5:49:00
12-22,20940,5,49,0,5:49:00
12-23,20952,5,49,12,5:49:12
12-24,20975,5,49,35,5:49:35
12-25,21008,5,50,8,5:50:08
12-26,21053,5,50,53,5:50:53
12-27,21109,5,51,49,5:51:49
12-28,21176,5,52,56,5:52:56
12-29,21254,5,54,14,5:54:14
12-30,21342,5,55,42,5:55:42
12-31,20841,5,47,21,5:57:21
